Distrito	MUNICÍPIO	Nome  Presidente	MORADA	CÓDIGO POSTAL	E-mail	Telefone 	Sitio
Distrito BRAGANÇA	ALFÂNDEGA DA FÉ	Berta Ferreira Milheiro Nunes	Rua Camilo Mendonça	5350-014	gabinetepresidencia.cmaf@gmail.com	279468120	www.cm-alfandegadafe.pt
Distrito VILA REAL	ALIJÓ	José Rodrigues Paredes	Rua General Alves Pedrosa, N.º 13	5070-051	geral@cm-alijo.pt	259957100	www.cm-alijo.pt
Distrito FARO	ALJEZUR	José Manuel Velhinho Amarelinho	Rua Capitão Salgueiro Maia	8670-005	geral@cm-aljezur.pt	282990010	www.cm-aljezur.pt
Distrito BEJA	ALJUSTREL	Nelson Domingos Brito	Avenida 1º de Maio	7600-010	geral@mun-aljustrel.pt	284600070	www.mun-aljustrel.pt
Distrito SETÚBAL	ALMADA	Inês de Saint-Maurice Esteves de Medeiros Victorino de Almeida	Lgo. Luís de Camões	2800-158	almadainforma@cma.m-almada.pt	212724000	www.m-almada.pt
Distrito GUARDA	ALMEIDA	António José Monteiro Machado	Praça da Liberdade, N.º 8	6350-130	camara@cm-almeida.pt	271570020	www.cm-almeida.pt
Distrito SANTARÉM	ALMEIRIM	Pedro Miguel César Ribeiro	Rua 5 de Outubro	2080-052	geral@cm-almeirim.pt	243594100	www.cm-almeirim.pt
Distrito BEJA	ALMODÔVAR	António Manuel Ascenção Mestre Bota	Rua Serpa Pinto, nº 10	7700-081	geral@cm-almodovar.pt	286660600	www.cm-almodovar.pt
Distrito SANTARÉM	ALPIARÇA	Mário Fernando Atracado Pereira	Rua José Relvas, N.º 374,   Apartado 25	2094-909	atendimento@cm-alpiarca.pt	243559100	www.cm-alpiarca.pt
Distrito PORTALEGRE	ALTER DO CHÃO	Francisco António Martins dos Reis	Largo do Município, 2	7440-026	geral@cm-alter-chao.pt	245610000	www.cm-alter-chao.pt
Distrito LEIRIA	ALVAIÁZERE	Célia Margarida Gomes Marques	Praça do município	3250-100	geral@cm-alvaiazere.pt	236650600	www.cm-alvaiazere.pt
Distrito BEJA	ALVITO	António João Feio Valério 	Largo do Relógio, N.º 1	7920-022	geral@cm-alvito.pt	284480800	www.cm-alvito.pt
Distrito LISBOA	AMADORA	Carla Maria Nunes Tavares 	Av. Movimento das Forças Armadas	2700-595	geral@cm-amadora.pt	214369000	www.cm-amadora.pt
Distrito PORTO	AMARANTE	José Luís Gaspar Jorge	Alameda Teixeira de Pascoaes	4600-011	geral@cm-amarante.pt	255420200	www.cm-amarante.pt
Distrito BRAGA	AMARES	Manuel da Rocha Moreira	Largo do Município	4720-058	geral@municipioamares.pt	253993761	www.cm-amares.pt
Distrito AVEIRO	ANADIA	Maria Teresa Belém Correia Cardoso	Praça do Município - Apartado 19 	3780-909	geral@cm-anadia.pt	231510730	www.cm-anadia.pt
R. A. AÇORES	ANGRA DO HEROÍSMO	José Gabriel do Álamo de Meneses	Praça Velha	9701-857	angra@cmah.pt	295401700	www.cmah.pt
Distrito LEIRIA	ANSIÃO	António José Vicente Domingues	Praça do Município	3240-143	geral@cm-ansiao.pt	236670200	www.cm-ansiao.pt
Distrito VIANA DO CASTELO	ARCOS DE VALDEVEZ	João Manuel do Amaral Esteves 	Praça Municipal	4974-003	geral@cmav.pt	258520500	www.cmav.pt
Distrito COIMBRA	ARGANIL	Luis Paulo Carreira Fonseca da Costa	Praça Simões Dias, Apartado 10	3304-954	geral@cm-arganil.pt	235200150	www.cm-arganil.pt
Distrito VISEU	ARMAMAR	João Paulo Soares Carvalho Pereira da Fonseca	Praça da República	5110-127	geral@cm-armamar.pt	254850800	www.cm-armamar.pt
Distrito AVEIRO	AROUCA	Margarida Maria de Sousa Correia Belém	Praça do Município	4544-001	geral@cm-arouca.pt	256940220	www.cm-arouca.pt
Distrito ÉVORA	ARRAIOLOS	Sílvia Cristina Tirapicos Pinto	Praça do Município, N.º 27	7040-027	geral@cm-arraiolos.pt	266490240	www.cm-arraiolos.pt
Distrito PORTALEGRE	ARRONCHES	Fermelinda de Jesus Pombo Carvalho	Praça da República, Apartado 8	7340-012	geral@cm-arronches.pt	245580080	www.cm-arronches.pt
Distrito LISBOA	ARRUDA DOS VINHOS	André Filipe dos Santos Matos Rijo	Largo Miguel Bombarda	2630-112	cm-arruda@cm-arruda.pt	263977000	www.cm-arruda.pt
Distrito AVEIRO	AVEIRO	José Agostinho Ribau Esteves 	Praça da República, Apartado 244 	3810-156	geral@cm-aveiro.pt	234406300	www.cm-aveiro.pt
Distrito PORTALEGRE	AVIS	Nuno Paulo Augusto da Silva 	Largo Cândido dos Reis - Apartado 25	7481-909	geral@cm-avis.pt	242410060	www.cm-avis.pt
Distrito LISBOA	AZAMBUJA	Luís Manuel Abreu de Sousa 	Praça do Município, N.º 19	2050-315	geral@cm-azambuja.pt	263400400	www.cm-azambuja.pt
Distrito PORTO	BAIÃO	Joaquim Paulo de Sousa Pereira	Praça Heróis do Ultramar	4640-158	geral@cm-baiao.pt	255540500	www.cm-baiao.pt
Distrito BRAGA	BARCELOS	Miguel Jorge da Costa Gomes	Largo do Município	4750-323	geral@cm-barcelos.pt	253809600	www.cm-barcelos.pt
Distrito BEJA	BARRANCOS	João António Serranito Nunes	Praça do Município, N.º 2	7230-030	geral@cm-barrancos.pt	285950630	www.cm-barrancos.pt
Distrito SETÚBAL	BARREIRO	Frederico Alexandre Aljustrel da Costa Rosa	Rua Miguel Bombarda	2834-005	geral@cm-barreiro.pt	212068000	www.cm-barreiro.pt
Distrito LEIRIA	BATALHA	Paulo Jorge Frazão Batista dos Santos	Rua Infante D. Fernando	2440-118	geral@cm-batalha.pt	244769110	www.cm-batalha.pt
Distrito BEJA	BEJA	Paulo Jorge Lúcio Arsénio	Praça da República	7800-427	geral@cm-beja.pt	284311800	www.cm-beja.pt
Distrito CASTELO BRANCO	BELMONTE	António Pinto Dias Rocha 	Rua Pedro Álvares Cabral, N.º 135	6250-088	cmbelmonte@mail.telepac.pt	275910010	www.cm-belmonte.pt
Distrito SANTARÉM	BENAVENTE	Carlos António Pinto Coutinho	Praça do Município	2130-038	cmb@cm-benavente.pt	263519600	www.cm-benavente.pt
Distrito LEIRIA	BOMBARRAL	Ricardo Manuel da Silva Fernandes	Praça do Município	2540-046	geral@cm-bombarral.pt	262609020	www.cm-bombarral.pt
Distrito ÉVORA	BORBA	António José Lopes Anselmo 	Praça da República	7150–249	geral@cm-borba.pt	268891630	www.cm-borba.pt
Distrito VILA REAL	BOTICAS	Fernando Eirão Queiroga 	Praça do Município	5460-304	municipio@cm-boticas.pt	276410200	www.cm-boticas.pt
Distrito BRAGA	BRAGA	Ricardo Bruno Antunes Machado Rio 	Praça do Municipio	4700-435	municipe@cm-braga.pt	253203150	www.cm-braga.pt
Distrito BRAGANÇA	BRAGANÇA	Hernâni Dinis Venâncio Dias	Forte S. João de Deus	5300-263	cmb@cm-braganca.pt	273304200	www.cm-braganca.pt
Distrito BRAGA	CABECEIRAS DE BASTO	Francisco Luís Teixeira Alves	Praça da República N.º 467	4860-355	servicoatendimentounico@cabeceirasdebasto.pt	253669100	www.cabeceirasdebasto.pt
Distrito LISBOA	CADAVAL	José Bernardo Nunes	Av. Dr. Francisco Sá Carneiro	2550-103	geral@cm-cadaval.pt	262690100	www.cm-cadaval.pt
Distrito LEIRIA	CALDAS DA RAINHA	Fernando Manuel Tinta Ferreira	Praça 25 de Abril	2500-110	geral@cm-caldas-rainha.pt	262240000	www.cm-caldas-rainha.pt
R. A. MADEIRA	CALHETA	Carlos Manuel Figueira de Ornelas Teles 	Avenida Dom Manuel I, N.º 46	9370-135 (Madeira)	camara@cmcalheta.pt	291820200	www.cm-calheta-madeira.com
R. A. AÇORES	CALHETA (SÃO JORGE)	Décio Natálio Almada Pereira 	Rua 25 de Abril	9850-032 (São Jorge)	geral@cm-calheta.pt	295416324	www.cm-calheta.pt
R. A. MADEIRA	CÂMARA DE LOBOS	Pedro Emanuel Abreu Coelho	Praça da Autonomia	9304-001	geral@cm-camaradelobos.pt	291911080	www.cm-camaradelobos.pt
Distrito VIANA DO CASTELO	CAMINHA	Luís Miguel da Silva Mendonça Alves	Largo Calouste Gulbenkian	4910-113	geral@cm-caminha.pt	258710300	www.cm-caminha.pt
Distrito PORTALEGRE	CAMPO MAIOR	Ricardo Miguel Furtado Pinheiro	Praça da República, Apartado 55	7370-999	geral@cm-campo-maior.pt	268680300	www.cm-campo-maior.pt
Distrito COIMBRA	CANTANHEDE	Maria Helena Rosa de Teodósio e Cruz Gomes de Oliveira	Praça Marquês de Marialva	3060-133	geral@cm-cantanhede.pt	231410100	www.cm-cantanhede.pt
Distrito BRAGANÇA	CARRAZEDA DE ANSIÃES	João Manuel dos Santos Lopes Gonçalves	Rua Jerónimo Barbosa	5140-077	geral@cmca.pt	278610200	www.cm-carrazedadeansiaes.pt
Distrito VISEU	CARREGAL DO SAL	Rogério Mota Abrantes 	Praça do Município	3430-909	geral@cm-carregal.pt	232960400	www.carregal-digital.pt
Distrito SANTARÉM	CARTAXO	Pedro Miguel Magalhães Ribeiro	Praça 15 de Dezembro	2070-050	correio@cm-cartaxo.pt	243700250	www.cm-cartaxo.pt
Distrito LISBOA	CASCAIS	Carlos Manuel Lavrador de Jesus Carreiras	Praça 5 de Outubro	2754-501	atendimento.municipal@cm-cascais.pt	214825000	www.cm-cascais.pt
Distrito LEIRIA	CASTANHEIRA DE PÊRA	Alda Maria das Neves Delgado Correia de Carvalho	Praça Visconde de Castanheira de Pêra	3280-017	camara@cm-castanheiradepera.pt	236430280	www.cm-castanheiradepera.pt
Distrito CASTELO BRANCO	CASTELO BRANCO	Luís Manuel dos Santos Correia 	Praça do Município	6000-458	camara@cm-castelobranco.pt	272330330	www.cm-castelobranco.pt
Distrito AVEIRO	CASTELO DE PAIVA	Gonçalo Fernando da Rocha de Jesus	Largo do Conde	4550-102	geral@cm-castelo-paiva.pt	255689500	www.cm-castelo-paiva.pt
Distrito PORTALEGRE	CASTELO DE VIDE	António Manuel das Neves Nobre Pita 	Rua Bartolomeu Álvares da Santa	7320-117	cm.castvide@mail.telepac.pt	245908220	www.cm-castelo-vide.pt
Distrito VISEU	CASTRO DAIRE	Paulo Martins de Almeida	Rua Dr. Pio Figueiredo N.º 42	3600-214	geral@cm-castrodaire.pt	232382214	www.cm-castrodaire.pt
Distrito FARO	CASTRO MARIM	Francisco Augusto Caimoto Amaral	Rua Dr. José Alves Moreira, N.º 10	8950-138	expediente@cm-castromarim.pt	281510740	www.cm-castromarim.pt
Distrito BEJA	CASTRO VERDE	António José Rosa de Brito	Praça do Município	7780-217	geral@cm-castroverde.pt	286320700	www.cm-castroverde.pt
Distrito GUARDA	CELORICO DA BEIRA	Carlos Manuel da Fonseca Ascenção	Rua Sacadura Cabral	6360-350	geral@cm-celoricodabeira.pt	271747400	www.cm-celoricodabeira.pt
Distrito BRAGA	CELORICO DE BASTO	Joaquim Monteiro da Mota e Silva	Praça Cardeal D. António Ribeiro	4890-291	geral@mun-celoricodebasto.pt	255320300	www.mun-celoricodebasto.pt
Distrito SANTARÉM	CHAMUSCA	Paulo Jorge Mira Lucas Cegonho Queimado	Rua Direita de São Pedro	2140-098	geral@cm-chamusca.pt	249769100	www.cm-chamusca.pt
Distrito VILA REAL	CHAVES	Nuno Vaz Ribeiro	Praça de de Camões	5400-150	municipio@chaves.pt	276340500	www.chaves.pt
Distrito VISEU	CINFÃES	Armando da Silva Mourisco 	Largo Paços do Concelho	4690-030	geral@cm-cinfaes.pt	255560560	www.cm-cinfaes.pt
Distrito COIMBRA	COIMBRA	Manuel Augusto Soares Machado 	Praça 8 de Maio	3000-300	geral@cm-coimbra.pt	239857500	www.cm-coimbra.pt
Distrito COIMBRA	CONDEIXA-A-NOVA	Nuno Moita da Costa	Largo Artur Barreto	3150-124	geral@cm-condeixa.pt	239949120	www.cm-condeixa.pt
Distrito SANTARÉM	CONSTÂNCIA	Sérgio Miguel Santos Pereira de Oliveira	Estrada Nacional 3, nº 13 	2250-028	geral@cm-constancia.pt	249730050	www.cm-constancia.pt
Distrito SANTARÉM	CORUCHE	Francisco Silvestre de Oliveira	 Praça da Liberdade	2100-121	geral@cm-coruche.pt	243610200	www.cm-coruche.pt
R. A. AÇORES	CORVO	José Manuel Alves da Silva 	Rua Jogo da Bola	9980-024	geral@cm-corvo.pt	292590200	www.cm-corvo.pt
Distrito CASTELO BRANCO	COVILHÃ	Vitor Manuel Pinheiro Pereira 	Praça do Município	6200-151	info@cm-covilha.pt	275330600	www.cm-covilha.pt
Distrito PORTALEGRE	CRATO	Joaquim Bernardo dos Santos Diogo	Praça do Município	7430-999	geral@cm-crato.pt	245990110	www.cm-crato.pt
Distrito BEJA	CUBA	João Manuel Casaca Português	Rua Serpa Pinto, 84	7940-172	geral@cm-cuba.pt	284419900	www.cm-cuba.pt
Distrito PORTALEGRE	ELVAS	Nuno Miguel Fernandes Mocinha	Rua Isabel Maria Picão - Apartado 70 	7350-953	geral@cm-elvas.pt	268639740	www.cm-elvas.pt
Distrito SANTARÉM	ENTRONCAMENTO	Jorge Manuel Alves de Faria 	Largo José Duarte Coelho	2330-078	geral@cm-entroncamento.pt	249720400	www.cm-entroncamento.pt
Distrito AVEIRO	ESPINHO	Joaquim José Pinto Moreira	Praça Dr. José Oliveira Salvador - Apartado 700	4501-901	geral@cm-espinho.pt	227335800	www.cm-espinho.pt
Distrito BRAGA	ESPOSENDE	António Benjamim da Costa Pereira	Praça do Município	4740-223	carla.dias@cm-esposende.pt	253960100	www.cm-esposende.pt
Distrito AVEIRO	ESTARREJA	Diamantino Manuel Sabina	Praça Francisco Barbosa	3864-001	geral@cm-estarreja.pt	234840600	www.cm-estarreja.pt
Distrito ÉVORA	ESTREMOZ	Luis Filipe Pereira Mourinha	Rossio Marquês de Pombal	7100-513	geral@cm-estremoz.pt	268339200	www.cm-estremoz.pt
Distrito ÉVORA	EVORA	Carlos Manuel Rodrigues Pinto de Sá	Praça do Sertório	7004-506	cmevora@cm-evora.pt	266777000	www.cm-evora.pt
Distrito BRAGA	FAFE	Raul Jorge Fernandes da Cunha	Avenida 5 de Outubro	4824-501	geral@cm-fafe.pt	253700400	www.cm-fafe.pt
Distrito FARO	FARO	Rogério Conceição Bacalhau Coelho	Largo da Sé	8004-001	geral@cm-faro.pt	289870870	www.cm-faro.pt
Distrito PORTO	FELGUEIRAS	Nuno Alexandre Martins da Fonseca	Praça da República	4610-116	geral@cm-felgueiras.pt	255318000	www.cm-felgueiras.pt
Distrito BEJA	FERREIRA DO ALENTEJO	Luis António Pita Ameixa	Praça Comendador Infante Passanha, N.º 5	7900-571	geral@cm-ferreira-alentejo.pt	284738700	www.ferreiradoalentejo.pt
Distrito SANTARÉM	FERREIRA DO ZÊZERE	Jacinto Manuel Lopes Cristas Flores	Praça Dias Ferreira, 38	2240-341	geral@cm-ferreiradozezere.pt	249360150	www.cm-ferreiradozezere.pt
Distrito COIMBRA	FIGUEIRA DA FOZ	João Albino Rainho Ataide das Neves	Avenida Saraiva de Carvalho	3084-501	municipe@cm-figfoz.pt	233403300	www.cm-figfoz.pt
Distrito GUARDA	FIGUEIRA DE CASTELO RODRIGO	Paulo José Gomes Langrouva	Largo Dr. Vilhena, N.º 1	6440-100	cm-fcr@cm-fcr.pt	271319000	www.cm-fcr.pt
Distrito LEIRIA	FIGUEIRÓ DOS VINHOS	Jorge Manuel Fernandes de Abreu	Praça do Município	3260-408	secretaria@cm-figueirodosvinhos.pt	236559550	www.cm-figueirodosvinhos.pt
Distrito GUARDA	FORNOS DE ALGODRES	António Manuel Pina Fonseca	Estrada Nacional N.º 16, Apartado 15	6370-999	geral@cm-fornosdealgodres.pt	271700060	www.cm-fornosdealgodres.pt
Distrito BRAGANÇA	FREIXO DE ESPADA À CINTA	Maria do Céu Quintas	praceta do Município 	5180-103	geral@cm-fec.pt	279658160	www.cm-freixoespadacinta.pt
Distrito PORTALEGRE	FRONTEIRA	Rogério David Sádio da Silva	Praça do Município	7460-110	municipio@cm-fronteira.pt	245600070	www.cm-fronteira.pt
R. A. MADEIRA	FUNCHAL	Paulo Alexandre Nascimento Cafôfo	Praça do Município	9004-512	cmf@cm-funchal.pt	291211000	www.cm-funchal.pt
Distrito CASTELO BRANCO	FUNDÃO	Paulo Alexandre Bernardo Fernandes	Praça do Município	6230-338	geral@cm-fundao.pt	275779060	www.cm-fundao.pt
Distrito PORTALEGRE	GAVIÃO	José Fernando da Silva Pio	Largo do Município	6040-102	geral@cm-gaviao.pt	241639070	www.cm-gaviao.pt
Distrito COIMBRA	GÓIS	Maria de Lurdes de Oliveira Castanheira	Praça da República	3330-310	correio@cm-gois.pt	235770110	www.cm-gois.pt
Distrito SANTARÉM	GOLEGÃ	José Tavares Veiga Silva Maltez	Largo D.Manuel I	2150-128	geral@cm-golega.pt	249979050	www.cm-golega.pt
Distrito PORTO	GONDOMAR	Marco André dos Santos Martins Lopes 	Praça Manuel Guedes	4420-193	geral@cm-gondomar.pt	224660500	www.cm-gondomar.pt
Distrito GUARDA	GOUVEIA	Luís Manuel Tadeu Marques	Avenida 25 de Abril	6290-554	geral@cm-gouveia.pt	238490210	www.cm-gouveia.pt
Distrito SETÚBAL	GRÂNDOLA	António Jesus Figueira Mendes 	Rua José Pereira Barradas, 11	7570-281	geral@cm-grandola.pt	269450000	www.cm-grandola.pt
Distrito GUARDA	GUARDA	Álvaro dos  Santos Amaro 	Praça do Município	6300-854	geral@mun-guarda.pt	271220200	www.mun-guarda.pt
Distrito BRAGA	GUIMARÃES	Domingos Bragança Salgado 	Largo Cónego José Maria Gomes	4804-534	geral@cm-guimaraes.pt	253421200	www.cm-guimaraes.pt
R. A. AÇORES	HORTA	José Leonardo Goulart Silva 	Largo Duque D´Ávila e Bolama	9900-997	geral@cmhorta.pt	292202000	www.cmhorta.pt
Distrito CASTELO BRANCO	IDANHA-A-NOVA	Armindo Moreira Palma Jacinto 	Largo do Município	6060-163	geral@cm-idanhanova.pt	277200570	www.cm-idanhanova.pt
Distrito AVEIRO	ÍLHAVO	Fernando Fidalgo Caçoilo 	Avenida 25 de Abril	3830-044	geralcmi@cm-ilhavo.pt	234329600	www.cm-ilhavo.pt
Distrito FARO	LAGOA	Francisco José Malveiro Martins 	Largo do Município 	8401-851	expediente@cm-lagoa.pt	282380400	www.cm-lagoa.pt
R. A. AÇORES	LAGOA (AÇORES)	Cristina de Fátima da Silva Calisto Decq Mota	Largo D.João III	9560-045	geral@lagoa-acores.pt	296960600	www.lagoa-acores.pt
Distrito FARO	LAGOS	Maria Joaquina Baptista Quintans de Matos 	Praça do Município	8600-293	expediente.geral@cm-lagos.pt	282771700	www.cm-lagos.pt
R. A. AÇORES	LAJES DAS FLORES	Luís Carlos Martins Maciel 	Avenida do Emigrante, N.º 4	9960-431	geral@cmlajesdasflores.pt	292590800	www.cmlajesdasflores.pt
R. A. AÇORES	LAJES DO PICO	Roberto Manuel Medeiros da Silva	Rua de São Francisco	9930-135	cmlpico@mail.telepac.pt	292679700	www.cm-lajesdopico.pt
Distrito VISEU	LAMEGO	Ângelo Manuel Mendes Moura	Avenida Padre Alfredo Pinto Teixeira 	5100-150	geral@cm-lamego.pt	254609600	www.cm-lamego.pt
Distrito LEIRIA	LEIRIA	Raúl Miguel de Castro	Largo da República	2414-006	cmleiria@cm-leiria.pt	244839500	www.cm-leiria.pt
Distrito LISBOA	LISBOA	Fernando Medina	Paços do Concelho - Praça do Município 	1149-014	geral@cm-lisboa.pt	213236100	www.cm-lisboa.pt
Distrito FARO	LOULÉ	Vitor Manuel Gonçalves Aleixo 	Praça da República, N.º 5	8104-001	cmloule@cm-loule.pt	289400600	www.cm-loule.pt
Distrito LISBOA	LOURES	Bernardino José Torrão Soares 	Praça da Liberdade, 4	2674-501	geral@cm-loures.pt	211150100	www.cm-loures.pt
Distrito LISBOA	LOURINHÃ	João Duarte Anastácio de Carvalho 	Praça José Máximo da Costa	2530-850	geral@cm-lourinha.pt	261410100	www.cm-lourinha.pt
Distrito COIMBRA	LOUSÃ	Luís Miguel Correia Antunes 	Rua Dr. João Santos	3200-953	geral@cm-lousa.pt	239990370	www.cm-lousa.pt
Distrito PORTO	LOUSADA	Pedro Daniel Machado Gomes 	Praça Dr. Francisco Sá Carneiro, Apartado 19	4620-909	cm-lousada@cm-lousada.pt	255820500	www.cm-lousada.pt
Distrito SANTARÉM	MAÇÃO	Vasco António Mendonça Sequeira Estrela 	Rua Padre António Pereira Figueiredo	6120-750	geral@cm-macao.pt	241577200	www.cm-macao.pt
Distrito BRAGANÇA	MACEDO DE CAVALEIROS	Benjamim do Nascimento Pereira Rodrigues	Jardim 1º Maio	5340-218	geral@cm-macedodecavaleiros.pt	278420420	www.cm-macedodecavaleiros.pt
R. A. MADEIRA	MACHICO	Ricardo Miguel Nunes Franco	Largo do Município	9200-099	gabinete.apoio@cm-machico.pt	291969990	www.cm-machico.pt
R. A. AÇORES	MADALENA DO PICO	José António Marcos Soares	Largo Cardeal Costa Nunes	9950-324	geral@cm-madalena.pt	292628700	www.cm-madalena.pt
Distrito LISBOA	MAFRA	Helder António Guerra de Sousa Silva 	Praça do Município	2644-001	geral@cm-mafra.pt	261810100	www.cm-mafra.pt
Distrito PORTO	MAIA	António Domingos da Silva Tiago	Praça Doutor José Vieira Carvalho	4474-006	geral@cm-maia.pt	229408600	www.cm-maia.pt
Distrito VISEU	MANGUALDE	João Nuno Ferreira Gonçalves de Azevedo	Largo Dr. Couto	3534-004	geral@cmmangualde.pt	232619880	www.cmmangualde.pt
Distrito GUARDA	MANTEIGAS	Esmeraldo Saraiva Neto Carvalhinho	Rua 1º de Maio	6260-101	geral@cm-manteigas.pt	275980000	www.cm-manteigas.pt
Distrito PORTO	MARCO DE CANAVESES	Cristina Lasalete Cardoso Vieira	Largo Sacadura Cabral	4630-219	info@cm-marco-canaveses.pt	255538800	www.cm-marco-canaveses.pt
Distrito LEIRIA	MARINHA GRANDE	Cidália Maria de Oliveira Rosa Ferreira	Praça Guilherme Stephens	2430-522	geral@cm-mgrande.pt	244573300	www.cm-mgrande.pt
Distrito PORTALEGRE	MARVÃO	Luis António Abelho Sobreira Vitorino	Largo de Santa Maria	7330-101	geral@cm-marvao.pt	245909130	www.cm-marvao.pt
Distrito PORTO	MATOSINHOS	Luisa Maria Neves Salgueiro	Av. D. Afonso Henriques	4454-510	mail@cm-matosinhos.pt	229390900	www.cm-matosinhos.pt
Distrito AVEIRO	MEALHADA	Rui Manuel Leal Marqueiro 	Largo do Município	3050-001	gabpresidencia@cm-mealhada.pt	231200980	www.cm-mealhada.pt
Distrito GUARDA	MÊDA	Anselmo Antunes de Sousa	Largo do Município	6430-197	cmeda@cm-meda.pt	279880040	www.cm-meda.pt
Distrito VIANA DO CASTELO	MELGAÇO	Manoel Batista Calçada Pombal	Largo Hermenigildo Solheiro 	4960-551	geral@cm-melgaco.pt	251410100	www.cm-melgaco.pt
Distrito BEJA	MÉRTOLA	Jorge Paulo Colaço Rosa	Praça Luís de Camões	7750-329	geral@cm-mertola.pt	286610100	www.cm-mertola.pt
Distrito VILA REAL	MESÃO FRIO	Alberto Monteiro Pereira	Avenida Conselheiro Alpoim, n.º 432	5040-310	geral@cm-mesaofrio.pt	254890100	www.cm-mesaofrio.pt
Distrito COIMBRA	MIRA	Raul José Rei Soares de Almeida 	Praça do Município	3070-304	geral@cm-mira.pt	231480550	www.cm-mira.pt
Distrito COIMBRA	MIRANDA DO CORVO	António Miguel Costa Baptista 	Praça José Falcão	3220-206	camara@cm-mirandadocorvo.pt	239530320	www.cm-mirandadocorvo.pt
Distrito BRAGANÇA	MIRANDA DO DOURO	Artur Manuel Rodrigues Nunes	Largo D. João III	5210-190	geral@cm-mdouro.pt	273430020	www.cm-mdouro.pt
Distrito BRAGANÇA	MIRANDELA	Júlia Maria de Almeida Lima e Sequeira Rodrigues	Praça  do Município	5370-288	geral@cm-mirandela.pt	278200200	www.cm-mirandela.pt
Distrito BRAGANÇA	MOGADOURO	Francisco José Mateus Albuquerque Guimarães 	Largo do Convento de S. Francisco	5200-244	geral@mogadouro.pt	279340100	www.mogadouro.pt
Distrito VISEU	MOIMENTA DA BEIRA	José Eduardo Lopes Ferreira	Largo do Tabolado	3620-324	geral@cm-moimenta.pt	254520070	www.cm-moimenta.pt
Distrito SETÚBAL	MOITA	Rui Manuel Marques Garcia 	Praça da República	2864-007	cmmoita@mail.cm-moita.pt	212806700	www.cm-moita.pt
Distrito VIANA DO CASTELO	MONÇÃO	António José Fernandes Barbosa	Largo de Camões	4950-440	gap@cm-moncao.pt	251649000	www.cm-moncao.pt
Distrito FARO	MONCHIQUE	Rui Miguel da Silva André	Travessa da Portela nº 2	8550-470	geral@cm-monchique.pt	282910200	www.cm-monchique.pt
Distrito VILA REAL	MONDIM DE BASTO	Humberto da Costa Cerqueira	Largo Conde de Vila Real	4880-236	geral@cm-mondimdebasto.pt	255389300	http://municipio.mondimdebasto.pt
Distrito PORTALEGRE	MONFORTE	Gonçalo Nuno Brandão Ribeiro Amanso Pataca Lagem	Praça da República, Apartado 4	7450-115	cmmonforte@mail.telepac.pt	245578060	www.cm-monforte.pt
Distrito VILA REAL	MONTALEGRE	Manuel Orlando Fernandes Alves 	Praça do Município nº 1	5470-214	municipio@cm-montalegre.pt	276510200	www.cm-montalegre.pt
Distrito ÉVORA	MONTEMOR-O-NOVO	Hortênsia dos Anjos Chegado Menino 	Largo Paços do Concelho	7050-127	cmmontemor@cm-montemornovo.pt	266898100	www.cm-montemornovo.pt
